epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.314,0.92269,3.10179,1.30553,0.01391,0.93977,0.28842,0.17797,0.50964,2.90542,0.95261,6.668e-05,6.668e-05,6.668e-05
2,47.3753,0.80919,2.74225,1.20517,0.01241,0.95455,0.41059,0.30196,0.54758,2.82845,0.93726,0.000145079,0.000145079,0.000145079
3,70.891,0.8745,2.31483,1.20635,0.01223,0.95455,0.43596,0.32783,0.57723,2.60138,0.94973,0.000217977,0.000217977,0.000217977
4,94.3285,0.92083,2.01209,1.29196,0.78608,0.05017,0.43742,0.3441,0.63615,2.48125,0.98041,0.000285374,0.000285374,0.000285374
5,116.823,0.84428,1.82329,1.18664,0.80065,0.16981,0.43997,0.33103,0.71697,2.46095,1.05181,0.000347269,0.000347269,0.000347269
6,140.587,0.85588,1.72249,1.19792,0.79372,0.325,0.4976,0.39683,0.73358,2.30101,1.04314,0.000403664,0.000403664,0.000403664
7,163.555,0.80002,1.57999,1.18277,0.72243,0.54204,0.62961,0.4872,0.81625,1.90991,1.09458,0.000454558,0.000454558,0.000454558
8,185.741,0.8325,1.46136,1.2178,0.66423,0.58389,0.5963,0.4365,0.87751,2.02938,1.16174,0.00049995,0.00049995,0.00049995
9,209.214,0.87384,1.5497,1.23406,0.62301,0.66705,0.53933,0.36751,0.78111,1.9133,1.12886,0.000539841,0.000539841,0.000539841
10,232.434,0.80202,1.41397,1.15302,0.57517,0.6038,0.50672,0.33977,0.85366,1.89051,1.22983,0.000574231,0.000574231,0.000574231
11,255.713,0.82589,1.40165,1.17579,0.66874,0.59205,0.57291,0.41328,0.85891,1.90108,1.20231,0.000603121,0.000603121,0.000603121
12,279.138,0.86129,1.38177,1.20819,0.68529,0.56725,0.55103,0.42273,0.77995,1.91512,1.06879,0.000626509,0.000626509,0.000626509
13,302.923,0.8391,1.37616,1.17166,0.64909,0.59968,0.58145,0.44472,0.79533,1.89945,1.06736,0.000644396,0.000644396,0.000644396
14,326.008,0.80454,1.315,1.16866,0.75108,0.65643,0.71398,0.55429,0.81715,1.65252,1.10037,0.000656781,0.000656781,0.000656781
15,349.756,0.80683,1.30347,1.18799,0.71847,0.72273,0.7156,0.48787,0.98085,1.81101,1.2212,0.000663666,0.000663666,0.000663666
16,375.292,0.84648,1.3994,1.18058,0.70759,0.6631,0.69625,0.46225,1.05387,1.85592,1.28196,0.00066505,0.00066505,0.00066505
17,399.513,0.8191,1.28549,1.16523,0.75237,0.7224,0.72466,0.48157,0.99772,1.67554,1.25702,0.000660932,0.000660932,0.000660932
18,423.492,0.88669,1.36316,1.19411,0.73824,0.75719,0.7428,0.50073,0.96955,1.67053,1.24011,0.000651314,0.000651314,0.000651314
19,446.514,0.77596,1.30199,1.14092,0.64348,0.76645,0.68801,0.45838,0.98473,1.65011,1.27816,0.000636194,0.000636194,0.000636194
20,469.764,0.81275,1.21631,1.17821,0.69936,0.71545,0.67036,0.4781,0.8945,1.65911,1.20929,0.000615573,0.000615573,0.000615573
21,492.251,0.70815,1.39557,1.12201,0.68315,0.74613,0.71451,0.50947,0.88594,1.58766,1.20967,0.00056678,0.00056678,0.00056678
